"","DATE","Tier","HPI"
"1595",2011-04-01,"Low",63.99
"1596",2011-05-01,"Low",59.61
"1597",2011-06-01,"Low",61.72
"1598",2011-07-01,"Low",60.72
"1599",2011-08-01,"Low",55.42
"1600",2011-09-01,"Low",51.58
"1601",2011-10-01,"Low",51.12
"1602",2011-11-01,"Low",50.36
"1603",2011-12-01,"Low",49.96
"1604",2012-01-01,"Low",49.64
"1605",2012-02-01,"Low",48.91
"1606",2012-03-01,"Low",48.89
"1607",2012-04-01,"Low",48.6
"1608",2012-05-01,"Low",48.62
"1609",2012-06-01,"Low",50.06
"1610",2012-07-01,"Low",51.86
"1611",2012-08-01,"Low",53.63
"1612",2012-09-01,"Low",55.27
"1613",2012-10-01,"Low",56.58
"1614",2012-11-01,"Low",59.09
"1615",2012-12-01,"Low",60.94
"1616",2013-01-01,"Low",64.51
"1617",2013-02-01,"Low",67.01
"1618",2013-03-01,"Low",69.44
"1619",2013-04-01,"Low",71.7
"1620",2013-05-01,"Low",75.2
"1621",2013-06-01,"Low",77.77
"1622",2013-07-01,"Low",79.34
"1623",2013-08-01,"Low",81.86
"1624",2013-09-01,"Low",84.75
"1625",2013-10-01,"Low",88.57
"1626",2013-11-01,"Low",89.41
"1627",2013-12-01,"Low",91.42
"1628",2014-01-01,"Low",92.03
"1629",2014-02-01,"Low",94.11
"1630",2014-03-01,"Low",95.42
"1631",2014-04-01,"Low",97
"1632",2014-05-01,"Low",96.75
"1633",2014-06-01,"Low",96.44
"1634",2014-07-01,"Low",97.29
"1635",2014-08-01,"Low",99.69
"1636",2014-09-01,"Low",101.51
"1637",2014-10-01,"Low",103.37
"1638",2014-11-01,"Low",103.82
"1639",2014-12-01,"Low",105.31
"1640",2015-01-01,"Low",104.71
"1641",2015-02-01,"Low",105.35
"1642",2015-03-01,"Low",107.22
"1643",2015-04-01,"Low",107.18
"1644",2015-05-01,"Low",107.72
"1645",2015-06-01,"Low",107.56
"1646",2015-07-01,"Low",109.32
"1647",2015-08-01,"Low",109.47
"1648",2015-09-01,"Low",110.24
"1649",2015-10-01,"Low",111.49
"1650",2015-11-01,"Low",113.15
